      #(t)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     183     0.0254743     0.0360249   0.000102721   0.000270322   2.00587e-16   8.36256e-08    -0.0157224   0.000108772     0.0502926    0.00599631    -0.0442963    0.00467537
     184     0.0250623     0.0354422    9.9035e-05   0.000265576   2.00481e-16   8.03384e-08    -0.0156269   0.000108101     0.0490846    0.00549785    -0.0435868    0.00447014
     185     0.0246611      0.034875   9.54809e-05   0.000260963   2.00071e-16   7.72183e-08    -0.0155319   0.000107434     0.0479053    0.00501381    -0.0428915     0.0042746
     186     0.0242706     0.0343228   9.20544e-05    0.00025648   2.00585e-16   7.42559e-08    -0.0154374   0.000106772     0.0467541    0.00454388    -0.0422102    0.00408831
     187     0.0238905     0.0337852   8.87508e-05   0.000252122   1.90256e-16   7.14424e-08    -0.0153435   0.000106113     0.0456303    0.00408776    -0.0415425    0.00391083
     188     0.0235205     0.0332619   8.55659e-05   0.000247887   1.86485e-16   6.87694e-08      -0.01525   0.000105459     0.0445334    0.00364518    -0.0408882    0.00374174
     189     0.0231602     0.0327525   8.24952e-05   0.000243769   1.78825e-16    6.6229e-08    -0.0151571   0.000104809     0.0434629    0.00321593     -0.040247    0.00358064
     190     0.0228096     0.0322566   7.95348e-05   0.000239767   1.80493e-16   6.38139e-08    -0.0150648   0.000104163     0.0424184    0.00279983    -0.0396186    0.00342716
     191     0.0224682     0.0317739   7.66805e-05   0.000235876   1.89743e-16   6.15172e-08    -0.0149729   0.000103522     0.0413997    0.00239685    -0.0390028    0.00328094
     192     0.0221359      0.031304   7.39288e-05   0.000232092   1.90568e-16   5.93323e-08    -0.0148816   0.000102884     0.0404064    0.00200711    -0.0383993    0.00314163
     193     0.0218124     0.0308465   7.12758e-05   0.000228414   1.83246e-16   5.72531e-08    -0.0147908    0.00010225     0.0394391    0.00163114    -0.0378079     0.0030089
     194     0.0214975     0.0304011    6.8718e-05   0.000224837   1.87678e-16   5.52737e-08    -0.0147005    0.00010162     0.0384986    0.00127033    -0.0372283    0.00288243
     195     0.0211908     0.0299675    6.6252e-05   0.000221358   1.91968e-16   5.33887e-08    -0.0146107   0.000100994     0.0375887   0.000928453    -0.0366603    0.00276194
     196     0.0208923     0.0295453   6.38745e-05   0.000217975   1.86657e-16   5.15929e-08    -0.0145215   0.000100372      0.036721   0.000617437    -0.0361036    0.00264713
     197     0.0206016     0.0291342   6.15823e-05   0.000214684   1.96494e-16   4.98816e-08    -0.0144327   9.97538e-05     0.0359434   0.000385479     -0.035558    0.00253773
     198     0.0203186     0.0287339   5.93724e-05   0.000211483   2.01051e-16   4.82501e-08    -0.0143445   9.91394e-05     0.0354011   0.000377865    -0.0350232    0.00243348
     199     0.0200429     0.0283441   5.72417e-05   0.000208369    2.0306e-16   4.66942e-08    -0.0142568   9.85289e-05     0.0350854   0.000586336    -0.0344991    0.00233414
     200     0.0197744     0.0279645   5.51876e-05   0.000205339    2.0347e-16   4.52097e-08    -0.0141696   9.79222e-05     0.0348414   0.000856086    -0.0339854    0.00223947
