      #(t)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      38      0.274374      0.386174     0.0271955     0.0262948      0.030467    0.00143101   -0.00186305   0.000213432       1.14619      0.713652     -0.432542       1.32654
      39       0.27426      0.386228     0.0260243     0.0242522     0.0279589    0.00126544   -0.00258791   0.000214324       1.14157      0.719887     -0.421688       1.29544
      40      0.274054      0.386151     0.0248895      0.021897     0.0251572    0.00109897   -0.00335119   0.000216823       1.13287      0.722353     -0.410517       1.26233
      41      0.273808      0.385997     0.0236802     0.0196938     0.0223283   0.000948597   -0.00414435   0.000220513       1.12087      0.721495     -0.399376       1.22774
      42      0.273529      0.385756     0.0223917     0.0180703     0.0198368   0.000827924   -0.00495926   0.000224959       1.10614      0.717706     -0.388435       1.19315
      43      0.273185      0.385383     0.0210907     0.0171809     0.0179602       0.00074   -0.00578845   0.000229831        1.0891      0.711346     -0.377756       1.15994
      44      0.272737      0.384829      0.019884     0.0168167     0.0167399   0.000678174   -0.00662525   0.000234919       1.07011      0.702747     -0.367361       1.12879
      45      0.272156      0.384066     0.0188574     0.0165946     0.0159496   0.000630981   -0.00746369    0.00024006        1.0495      0.692221     -0.357283       1.09975
      46      0.271429      0.383094     0.0180146     0.0162019     0.0152256   0.000587026   -0.00829846   0.000245094       1.02764      0.680059     -0.347584       1.07246
      47      0.270564      0.381931     0.0172829     0.0154959     0.0142684    0.00053882   -0.00912478   0.000249851       1.00488       0.66654     -0.338339       1.04637
      48      0.269577      0.380604     0.0165805     0.0144848     0.0129584   0.000484722   -0.00993838   0.000254167      0.981554      0.651941     -0.329613       1.02093
      49      0.268485      0.379131     0.0158671     0.0132718     0.0113435   0.000427906    -0.0107355   0.000257904      0.957982      0.636533     -0.321448       0.99589
      50      0.267296      0.377519     0.0151392     0.0120038    0.00956191   0.000373286    -0.0115131   0.000260963      0.934437       0.62058     -0.313857      0.971378
      51       0.26601      0.375763     0.0144066     0.0108318    0.00777358   0.000324877    -0.0122687   0.000263296      0.911156      0.604323     -0.306833       0.94763
      52      0.264621       0.37385     0.0136838    0.00987626    0.00613643   0.000284788    -0.0130003   0.000264901      0.888333      0.587975     -0.300358      0.924816
      53      0.263118      0.371765     0.0129929    0.00919278    0.00480977   0.000253322    -0.0137066   0.000265819       0.86612       0.57171      -0.29441      0.902973
      54      0.261491      0.369494      0.012358    0.00875591    0.00393504   0.000229387    -0.0143868   0.000266114      0.844618      0.555659     -0.288958      0.882036
      55      0.259734      0.367032     0.0117941    0.00848211    0.00354201   0.000211047    -0.0150402   0.000265862       0.82389      0.539915     -0.283974      0.861859
      56      0.257846       0.36438     0.0112989    0.00827762    0.00347296   0.000196183    -0.0156666   0.000265144      0.803964      0.524539     -0.279425      0.842248
      57      0.255831      0.361547     0.0108569    0.00807486    0.00350195   0.000183075    -0.0162659   0.000264037      0.784843      0.509567     -0.275276         0.823
      58      0.253696      0.358542     0.0104493    0.00784199    0.00348432   0.000170685    -0.0168383   0.000262617      0.766514      0.495023     -0.271491      0.803949
      59      0.251449      0.355379     0.0100615    0.00757513    0.00337166   0.000158617    -0.0173838   0.000260948      0.748953      0.480919     -0.268034      0.784994
      60      0.249099      0.352071    0.00968543    0.00728598     0.0031718   0.000146893    -0.0179029   0.000259089       0.73213      0.467262     -0.264869      0.766093
      61      0.246656       0.34863    0.00931844    0.00699114    0.00291618   0.000135709     -0.018396   0.000257087       0.71601       0.45405      -0.26196      0.747245
      62      0.244127      0.345067    0.00896116      0.006705    0.00264089   0.000125259    -0.0188637   0.000254983      0.700553       0.44128     -0.259272      0.728472
      63       0.24152      0.341391    0.00861543    0.00643634    0.00237619   0.000115652    -0.0193064   0.000252808      0.685717      0.428943     -0.256774      0.709799
      64       0.23884      0.337612    0.00828294    0.00618802    0.00214104   0.000106899    -0.0197248   0.000250586      0.671462      0.417025     -0.254437      0.691248
      65      0.236094      0.333739    0.00796458    0.00595856    0.00194168    9.8939e-05    -0.0201196   0.000248338      0.657744      0.405511     -0.252233      0.672838
      66      0.233288      0.329781    0.00766033    0.00574449    0.00177395   9.16798e-05    -0.0204915   0.000246079      0.644521      0.394385     -0.250137      0.654581
      67      0.230429      0.325745    0.00736947     0.0055422    0.00162832   8.50251e-05    -0.0208411    0.00024382      0.631755      0.383628     -0.248127       0.63649
      68      0.227521      0.321641    0.00709101    0.00534901    0.00149488   7.88944e-05    -0.0211692   0.000241571      0.619407      0.373223     -0.246184      0.618576
      69      0.224571      0.317477    0.00682396    0.00516341    0.00136656   7.32272e-05    -0.0214765   0.000239339      0.607444      0.363153     -0.244291      0.600853
      70      0.221585       0.31326     0.0065675    0.00498485    0.00123995   6.79807e-05    -0.0217638    0.00023713      0.595833      0.353402     -0.242432      0.583336
      71      0.218567      0.308998    0.00632102    0.00481333    0.00111461   6.31235e-05    -0.0220316   0.000234948      0.584546      0.343953     -0.240593      0.566041
      72      0.215522      0.304698    0.00608412    0.00464903   0.000991939     5.863e-05    -0.0222808   0.000232796      0.573557      0.334793     -0.238765      0.548984
      73      0.212456      0.300367    0.00585645    0.00449206   0.000874001   5.44767e-05     -0.022512   0.000230676      0.562844      0.325908     -0.236936      0.532179
      74      0.209372      0.296011    0.00563773    0.00434237   0.000762788   5.06402e-05    -0.0227259    0.00022859      0.552384      0.317285     -0.235099      0.515642
      75      0.206276      0.291637    0.00542767    0.00419972   0.000659811   4.70972e-05    -0.0229232    0.00022654       0.54216      0.308913     -0.233247      0.499385
      76       0.20317       0.28725    0.00522593    0.00406374   0.000565973   4.38243e-05    -0.0231044   0.000224525      0.532155      0.300781     -0.231374       0.48342
      77       0.20006      0.282855    0.00503219      0.003934   0.000481616   4.07993e-05    -0.0232704   0.000222546      0.522355      0.292878     -0.229477      0.467758
      78      0.196948      0.278458     0.0048461    0.00381003   0.000406653    3.8001e-05    -0.0234216   0.000220602      0.512747      0.285196     -0.227551      0.452408
      79      0.193837      0.274063    0.00466731    0.00369139   0.000340704   3.54102e-05    -0.0235588   0.000218694      0.503319      0.277725     -0.225594      0.437378
      80      0.190732      0.269675     0.0044955    0.00357767   0.000283216   3.30093e-05    -0.0236824    0.00021682      0.494062      0.270457     -0.223605      0.422673
      81      0.187635      0.265298    0.00433035    0.00346847   0.000233543   3.07822e-05    -0.0237932   0.000214981      0.484966      0.263384     -0.221582        0.4083
      82      0.184548      0.260935    0.00417155    0.00336348   0.000190999   2.87149e-05    -0.0238916   0.000213175      0.476023      0.256499     -0.219524      0.394263
      83      0.181474      0.256591    0.00401882     0.0032624   0.000154889   2.67942e-05    -0.0239782   0.000211402      0.467227      0.249795     -0.217431      0.380565
      84      0.178416      0.252269     0.0038719    0.00316497   0.000124522   2.50087e-05    -0.0240536   0.000209661      0.458571      0.243266     -0.215305      0.367209
      85      0.175376      0.247972    0.00373053    0.00307098   9.92283e-05   2.33478e-05    -0.0241182   0.000207951      0.450051      0.236906     -0.213145      0.354195
      86      0.172356      0.243703    0.00359448    0.00298022   7.83643e-05    2.1802e-05    -0.0241725   0.000206271      0.441661      0.230708     -0.210953      0.341525
      87      0.169357      0.239465    0.00346353    0.00289253   6.13249e-05   2.03628e-05     -0.024217   0.000204621      0.433398      0.224667     -0.208731      0.329197
      88      0.166382      0.235259    0.00333747    0.00280776   4.75482e-05   1.90222e-05    -0.0242523   0.000202998      0.425257      0.218779     -0.206478       0.31721
      89      0.163432      0.231089     0.0032161    0.00272578   3.65221e-05   1.77732e-05    -0.0242787   0.000201403      0.417237      0.213038     -0.204199      0.305563
      90      0.160508      0.226957    0.00309923    0.00264647   2.77874e-05    1.6609e-05    -0.0242966   0.000199835      0.409333       0.20744     -0.201894      0.294252
      91      0.157613      0.222863    0.00298669    0.00256973   2.09389e-05   1.55238e-05    -0.0243065   0.000198293      0.401545       0.20198     -0.199565      0.283276
      92      0.154746      0.218811    0.00287831    0.00249545   1.56248e-05    1.4512e-05    -0.0243087   0.000196775      0.393869      0.196654     -0.197215      0.272629
      93       0.15191      0.214802    0.00277393    0.00242355   1.15444e-05   1.35683e-05    -0.0243038   0.000195281      0.386304      0.191459     -0.194845      0.262308
      94      0.149105      0.210836    0.00267339    0.00235393    8.4443e-06    1.2688e-05    -0.0242919   0.000193811      0.378849       0.18639     -0.192458      0.252308
      95      0.146332      0.206916    0.00257655    0.00228653   6.11414e-06   1.18668e-05    -0.0242735   0.000192363      0.371501      0.181445     -0.190057      0.242624
      96      0.143592      0.203043    0.00248326    0.00222125   4.38153e-06   1.11005e-05    -0.0242489   0.000190938      0.364261      0.176618     -0.187643       0.23325
      97      0.140886      0.199217     0.0023934    0.00215803   3.10725e-06   1.03854e-05    -0.0242184   0.000189533      0.357127      0.171909     -0.185218      0.224182
      98      0.138215       0.19544    0.00230682     0.0020968   2.18036e-06   9.71797e-06    -0.0241824   0.000188148      0.350097      0.167312     -0.182785      0.215412
      99      0.135578      0.191712    0.00222341    0.00203748   1.51365e-06   9.09489e-06    -0.0241411   0.000186783      0.343172      0.162825     -0.180346      0.206936
     100      0.132976      0.188034    0.00214305    0.00198002   1.03947e-06   8.51316e-06    -0.0240948   0.000185437       0.33635      0.158446     -0.177903      0.198746
     101      0.130411      0.184407    0.00206563    0.00192436   7.06038e-07   7.96995e-06    -0.0240438    0.00018411       0.32963      0.154172     -0.175459      0.190837
     102      0.127882      0.180831    0.00199102    0.00187042   4.74268e-07   7.46264e-06    -0.0239884     0.0001828      0.323013      0.149999     -0.173014      0.183201
     103      0.125389      0.177307    0.00191914    0.00181816   3.15021e-07    6.9888e-06    -0.0239288   0.000181507      0.316497      0.145926     -0.170571      0.175832
     104      0.122933      0.173834    0.00184987    0.00176752   2.06879e-07   6.54614e-06    -0.0238652   0.000180231      0.310081      0.141949     -0.168132      0.168723
     105      0.120514      0.170414    0.00178313    0.00171844   1.34305e-07   6.13257e-06    -0.0237979   0.000178972      0.303766      0.138067     -0.165699      0.161869
     106      0.118132      0.167047    0.00171881    0.00167087   8.61797e-08   5.74611e-06    -0.0237271   0.000177727      0.297551      0.134278     -0.163273      0.155261
     107      0.115787      0.163732    0.00165683    0.00162477   5.46505e-08   5.38494e-06     -0.023653   0.000176498      0.291434      0.130578     -0.160856      0.148893
     108       0.11348      0.160469     0.0015971    0.00158008   3.42449e-08   5.04736e-06    -0.0235757   0.000175284      0.285416      0.126967      -0.15845      0.142759
     109       0.11121       0.15726    0.00153953    0.00153676   2.12004e-08   4.73178e-06    -0.0234956   0.000174084      0.279496      0.123441     -0.156056      0.136852
     110      0.108977      0.154103    0.00148406    0.00149476   1.29646e-08   4.43672e-06    -0.0234126   0.000172897      0.273674      0.119999     -0.153675      0.131165
     111      0.106782      0.150998    0.00143059    0.00145404   7.83002e-09   4.16082e-06    -0.0233272   0.000171724      0.267948      0.116639     -0.151309      0.125692
     112      0.104623      0.147946    0.00137906    0.00141456   4.66947e-09    3.9028e-06    -0.0232393   0.000170564      0.262318      0.113359     -0.148959      0.120426
     113      0.102502      0.144947     0.0013294    0.00137628   2.74916e-09   3.66145e-06    -0.0231492   0.000169417      0.256783      0.110157     -0.146626      0.115361
     114      0.100417      0.141999    0.00128153    0.00133916   1.59771e-09   3.43568e-06     -0.023057   0.000168282      0.251343      0.107031     -0.144312       0.11049
     115     0.0983692      0.139103     0.0012354    0.00130316   9.16418e-10   3.22444e-06    -0.0229628   0.000167159      0.245997      0.103981     -0.142017      0.105808
     116     0.0963578      0.136259    0.00119093    0.00126825   5.18673e-10   3.02677e-06    -0.0228668   0.000166047      0.240745      0.101003     -0.139742      0.101308
     117     0.0943826      0.133467    0.00114807    0.00123439   2.89581e-10   2.84178e-06    -0.0227691   0.000164947      0.235585     0.0980962     -0.137489     0.0969847
     118     0.0924435      0.130725    0.00110676    0.00120154   1.59439e-10   2.66863e-06    -0.0226698   0.000163857      0.230517     0.0952594     -0.135257     0.0928316
     119     0.0905401      0.128033    0.00106694    0.00116968   8.65589e-11   2.50653e-06    -0.0225691   0.000162778       0.22554     0.0924907     -0.133049     0.0888432
     120     0.0886722      0.125392    0.00102856    0.00113878   4.63452e-11   2.35476e-06     -0.022467    0.00016171      0.220653     0.0897887     -0.130864      0.085014
     121     0.0868395      0.122801   0.000991569     0.0011088   2.44822e-11   2.21264e-06    -0.0223637   0.000160652      0.215855     0.0871518     -0.128703     0.0813384
     122     0.0850416      0.120258   0.000955908    0.00107971   1.27628e-11   2.07953e-06    -0.0222592   0.000159604      0.211146     0.0845785     -0.126567     0.0778111
     123     0.0832783      0.117765   0.000921534    0.00105149   6.56327e-12   1.95485e-06    -0.0221537   0.000158565      0.206524     0.0820676     -0.124456     0.0744269
     124     0.0815491       0.11532     0.0008884     0.0010241   3.32815e-12   1.83804e-06    -0.0220473   0.000157536      0.201989     0.0796175     -0.122371     0.0711806
     125     0.0798538      0.112923    0.00085646   0.000997531   1.66788e-12   1.72859e-06    -0.0219399   0.000156516      0.197539     0.0772269     -0.120312     0.0680674
     126      0.078192      0.110573   0.000825672   0.000971746   8.34233e-13   1.62603e-06    -0.0218318   0.000155505      0.193174     0.0748945      -0.11828     0.0650824
     127     0.0765633       0.10827   0.000795993   0.000946725   4.25706e-13   1.52989e-06     -0.021723   0.000154503      0.188893      0.072619     -0.116274      0.062221
     128     0.0749672      0.106013   0.000767384   0.000922441   2.28902e-13   1.43978e-06    -0.0216135    0.00015351      0.184694     0.0703992     -0.114295     0.0594784
     129     0.0734036      0.103802   0.000739805   0.000898873   1.33807e-13   1.35528e-06    -0.0215035   0.000152524      0.180578     0.0682337     -0.112344     0.0568505
     130     0.0718718      0.101636   0.000713219   0.000875999   8.64056e-14   1.27606e-06    -0.0213929   0.000151548      0.176542     0.0661214      -0.11042     0.0543327
     131     0.0703716     0.0995144    0.00068759   0.000853797   6.10051e-14   1.20175e-06    -0.0212819   0.000150579      0.172585      0.064061     -0.108524      0.051921
     132     0.0689025      0.097437   0.000662885   0.000832246   4.54984e-14   1.13205e-06    -0.0211706   0.000149618      0.168707     0.0620515     -0.106656     0.0496114
     133     0.0674641     0.0954031   0.000639068   0.000811327   3.46988e-14   1.06666e-06    -0.0210589   0.000148665      0.164907     0.0600916     -0.104815     0.0473999
     134      0.066056     0.0934119   0.000616109   0.000791019    2.6593e-14    1.0053e-06    -0.0209469    0.00014772      0.161183     0.0581803     -0.103002     0.0452826
